ProductID,ProductName,Category,Price,SKU,Description,IsActive,CreatedDate
1,Tesco Finest Aberdeen Angus Steak,Fresh Food,12.99,FF-STEAK-001,28-day aged premium beef,1,2024-09-16
2,British Chicken Breast (500g),Fresh Food,5.49,FF-CHICKEN-001,Free-range chicken fillets,1,2026-01-23
3,Organic Salmon Fillet (300g),Fresh Food,8.99,FF-SALMON-001,Scottish farmed salmon,1,2024-12-21
4,British Pork Chops (4 pack),Fresh Food,4.99,FF-PORK-001,Outdoor bred pork,1,2024-05-18
5,Free Range Eggs (12 pack),Fresh Food,3.49,FF-EGGS-001,Large British eggs,1,2024-06-10
6,Warburtons Toastie White Bread,Bakery,1.2,BK-BREAD-001,Soft white sliced bread,1,2024-05-18
7,Hovis Wholemeal Medium Sliced,Bakery,1.35,BK-BREAD-002,Wholegrain goodness,1,2024-06-30
8,Croissants (6 pack),Bakery,2.5,BK-CROIS-001,All butter pastries,1,2025-09-10
9,Tiger Bloomer Loaf,Bakery,1.75,BK-BLOOMER-001,Crusty white bloomer,1,2025-04-30
10,Heinz Baked Beans (4x415g),Grocery,2.5,GR-BEANS-001,Classic in tomato sauce,1,2025-05-29
11,Kellogg's Corn Flakes (750g),Grocery,3.0,GR-CEREAL-001,Original corn flakes,1,2025-08-29
12,PG Tips Tea Bags (240 pack),Grocery,6.5,GR-TEA-001,British tea tradition,1,2026-02-24
13,Nescafe Gold Blend (200g),Grocery,8.99,GR-COFFEE-001,Premium instant coffee,1,2026-01-13
14,Walkers Crisps Variety (24 pack),Grocery,4.5,GR-CRISPS-001,Assorted flavours,1,2025-04-19
15,Branston Baked Beans (4x410g),Grocery,2.25,GR-BEANS-002,Rich tomato sauce,1,2025-11-16
16,Hovis Granary Bread Mix,Grocery,2.8,GR-MIX-001,Make your own bread,1,2025-07-19
17,Cadbury Dairy Milk (200g),Confectionery,2.0,CF-CHOC-001,Classic milk chocolate,1,2024-04-27
18,Galaxy Smooth Milk (180g),Confectionery,2.0,CF-CHOC-002,Smooth chocolate bar,1,2025-07-27
19,Maltesers (175g),Confectionery,1.75,CF-CHOC-003,Light chocolate treats,1,2026-01-03
20,Quality Street Tin (650g),Confectionery,6.0,CF-CHOC-004,Assorted chocolates,1,2026-02-05
21,Haribo Starmix (140g),Confectionery,1.0,CF-SWEETS-001,Chewy sweets,1,2024-05-21
22,"Samsung 55"" QLED TV",Electronics,899.0,EL-TV-001,4K Smart Television,1,2024-11-11
23,Dyson V11 Cordless Vacuum,Electronics,449.0,EL-VAC-001,Powerful cordless cleaning,1,2025-06-22
24,Apple iPad 10th Gen,Electronics,349.0,EL-TABLET-001,10.9-inch display,1,2024-10-10
25,Sony WH-1000XM5 Headphones,Electronics,379.0,EL-AUDIO-001,Noise cancelling,1,2025-05-11
26,Nintendo Switch OLED,Electronics,309.0,EL-GAME-001,Gaming console,1,2026-02-23
27,Hoover Upright Vacuum Cleaner,Home,149.99,HM-VAC-001,Bagless cleaning,1,2024-11-19
28,Tefal Non-Stick Pan Set (3pc),Home,49.99,HM-PAN-001,Durable cookware,1,2024-08-25
29,Bosch Series 4 Kettle,Home,39.99,HM-KETTLE-001,1.7L rapid boil,1,2024-09-12
30,Brabantia Ironing Board,Home,89.99,HM-IRON-001,Sturdy ironing solution,1,2024-03-13
31,Vileda SuperMocio Mop Set,Home,24.99,HM-MOP-001,Easy floor cleaning,1,2024-03-04
32,LEGO Star Wars Millennium Falcon,Toys,149.99,TY-LEGO-001,Iconic starship set,1,2025-08-26
33,Barbie Dreamhouse Playset,Toys,199.99,TY-BARBIE-001,Ultimate dollhouse,1,2024-04-26
34,Hot Wheels Track Builder,Toys,29.99,TY-HWHEELS-001,Stunt track system,1,2024-07-20
35,Nerf Elite 2.0 Blaster,Toys,24.99,TY-NERF-001,Foam dart blaster,1,2025-08-15
36,Play-Doh Mega Pack (36 cans),Toys,19.99,TY-PLAYDOH-001,Creative modelling,1,2025-02-13
37,M&S Cotton Formal Shirt,Clothing,29.99,CL-SHIRT-001,Pure cotton dress shirt,1,2025-02-03
38,Next Slim Fit Jeans,Clothing,39.99,CL-JEANS-001,Modern denim fit,1,2025-09-27
39,John Lewis Cashmere Jumper,Clothing,79.99,CL-JUMPER-001,Luxury knitwear,1,2025-08-25
40,F&F School Uniform Pack,Clothing,24.99,CL-UNIFORM-001,Complete school outfit,1,2026-02-12
41,Nike Air Max Trainers,Clothing,119.99,CL-SHOES-001,Classic sports shoes,1,2026-01-10
